Number of Rounds,History,Co-op Payoff,Defect Positive Payoff,Defect Negative Payoff,Model Action
7,[],6,10,1,D
7,"[('D', 'C', 10, 0)]",6,10,1,D
7,"[('D', 'C', 10, 0), ('D', 'D', 1, 1)]",6,10,1,D
7,"[('D', 'C', 10, 0), ('D', 'D', 1, 1), ('D', 'D', 1, 1)]",6,10,1,D
7,"[('D', 'C', 10, 0), ('D', 'D', 1, 1), ('D', 'D', 1, 1), ('D', 'C', 10, 0)]",6,10,1,D
7,"[('D', 'C', 10, 0), ('D', 'D', 1, 1), ('D', 'D', 1, 1), ('D', 'C', 10, 0), ('D', 'D', 1, 1)]",6,10,1,D
7,"[('D', 'C', 10, 0), ('D', 'D', 1, 1), ('D', 'D', 1, 1), ('D', 'C', 10, 0), ('D', 'D', 1, 1), ('D', 'C', 10, 0)]",6,10,1,D
7,[],6,10,1,D
7,"[('D', 'D', 1, 1)]",6,10,1,D
7,"[('D', 'D', 1, 1), ('D', 'D', 1, 1)]",6,10,1,D
7,"[('D', 'D', 1, 1), ('D', 'D', 1, 1), ('D', 'D', 1, 1)]",6,10,1,D
7,"[('D', 'D', 1, 1), ('D', 'D', 1, 1), ('D', 'D', 1, 1), ('D', 'D', 1, 1)]",6,10,1,D
7,"[('D', 'D', 1, 1), ('D', 'D', 1, 1), ('D', 'D', 1, 1), ('D', 'D', 1, 1), ('D', 'D', 1, 1)]",6,10,1,D
7,"[('D', 'D', 1, 1), ('D', 'D', 1, 1), ('D', 'D', 1, 1), ('D', 'D', 1, 1), ('D', 'D', 1, 1), ('D', 'C', 10, 0)]",6,10,1,D
7,[],6,10,1,D
7,"[('D', 'C', 10, 0)]",6,10,1,D
7,"[('D', 'C', 10, 0), ('D', 'C', 10, 0)]",6,10,1,D
7,"[('D', 'C', 10, 0), ('D', 'C', 10, 0), ('D', 'D', 1, 1)]",6,10,1,D
7,"[('D', 'C', 10, 0), ('D', 'C', 10, 0), ('D', 'D', 1, 1), ('D', 'D', 1, 1)]",6,10,1,D
7,"[('D', 'C', 10, 0), ('D', 'C', 10, 0), ('D', 'D', 1, 1), ('D', 'D', 1, 1), ('D', 'D', 1, 1)]",6,10,1,D
7,"[('D', 'C', 10, 0), ('D', 'C', 10, 0), ('D', 'D', 1, 1), ('D', 'D', 1, 1), ('D', 'D', 1, 1), ('D', 'C', 10, 0)]",6,10,1,D
7,[],20,5,0,D
7,"[('D', 'D', 0, 0)]",20,5,0,D
7,"[('D', 'D', 0, 0), ('D', 'D', 0, 0)]",20,5,0,D
7,"[('D', 'D', 0, 0), ('D', 'D', 0, 0), ('D', 'D', 0, 0)]",20,5,0,D
7,"[('D', 'D', 0, 0), ('D', 'D', 0, 0), ('D', 'D', 0, 0), ('D', 'D', 0, 0)]",20,5,0,D
7,"[('D', 'D', 0, 0), ('D', 'D', 0, 0), ('D', 'D', 0, 0), ('D', 'D', 0, 0), ('D', 'C', 5, 0)]",20,5,0,D
7,"[('D', 'D', 0, 0), ('D', 'D', 0, 0), ('D', 'D', 0, 0), ('D', 'D', 0, 0), ('D', 'C', 5, 0), ('D', 'D', 0, 0)]",20,5,0,D
7,[],20,5,0,D
7,"[('D', 'C', 5, 0)]",20,5,0,D
7,"[('D', 'C', 5, 0), ('D', 'C', 5, 0)]",20,5,0,D
7,"[('D', 'C', 5, 0), ('D', 'C', 5, 0), ('D', 'D', 0, 0)]",20,5,0,D
7,"[('D', 'C', 5, 0), ('D', 'C', 5, 0), ('D', 'D', 0, 0), ('D', 'C', 5, 0)]",20,5,0,D
7,"[('D', 'C', 5, 0), ('D', 'C', 5, 0), ('D', 'D', 0, 0), ('D', 'C', 5, 0), ('D', 'D', 0, 0)]",20,5,0,D
7,"[('D', 'C', 5, 0), ('D', 'C', 5, 0), ('D', 'D', 0, 0), ('D', 'C', 5, 0), ('D', 'D', 0, 0), ('D', 'C', 5, 0)]",20,5,0,D
7,[],20,5,0,D
7,"[('D', 'C', 5, 0)]",20,5,0,D
7,"[('D', 'C', 5, 0), ('D', 'C', 5, 0)]",20,5,0,D
7,"[('D', 'C', 5, 0), ('D', 'C', 5, 0), ('D', 'C', 5, 0)]",20,5,0,D
7,"[('D', 'C', 5, 0), ('D', 'C', 5, 0), ('D', 'C', 5, 0), ('D', 'D', 0, 0)]",20,5,0,D
7,"[('D', 'C', 5, 0), ('D', 'C', 5, 0), ('D', 'C', 5, 0), ('D', 'D', 0, 0), ('D', 'C', 5, 0)]",20,5,0,D
7,"[('D', 'C', 5, 0), ('D', 'C', 5, 0), ('D', 'C', 5, 0), ('D', 'D', 0, 0), ('D', 'C', 5, 0), ('D', 'D', 0, 0)]",20,5,0,D
7,[],10,11,2,D
7,"[('D', 'D', 2, 2)]",10,11,2,D
7,"[('D', 'D', 2, 2), ('D', 'D', 2, 2)]",10,11,2,D
7,"[('D', 'D', 2, 2), ('D', 'D', 2, 2), ('D', 'C', 11, 0)]",10,11,2,D
7,"[('D', 'D', 2, 2), ('D', 'D', 2, 2), ('D', 'C', 11, 0), ('D', 'D', 2, 2)]",10,11,2,D
7,"[('D', 'D', 2, 2), ('D', 'D', 2, 2), ('D', 'C', 11, 0), ('D', 'D', 2, 2), ('D', 'D', 2, 2)]",10,11,2,D
7,"[('D', 'D', 2, 2), ('D', 'D', 2, 2), ('D', 'C', 11, 0), ('D', 'D', 2, 2), ('D', 'D', 2, 2), ('D', 'C', 11, 0)]",10,11,2,D
7,[],10,11,2,D
7,"[('D', 'C', 11, 0)]",10,11,2,C
